name,bigChancesCreated,assists,accuratePasses,accuratePasses%,keyPasses,team,age,ageCategory
Ben Brereton Díaz,0,0,49,79.03,2,Villarreal,24,young
Alejandro Pozo,0,0,223,77.7,10,Almería,24,young
Antonio Puertas,0,2,97,76.98,8,Granada,31,veteran
Roman Yaremchuk,0,0,63,78.75,3,Valencia,28,ideal
Nabil Fekir,0,0,10,83.33,0,Real Betis,30,veteran
Álvaro Odriozola,0,0,19,100.0,0,Real Sociedad,28,ideal
Salvi Sánchez,0,0,10,83.33,0,Rayo Vallecano,32,veteran
Alberto Mari,0,0,0,0.0,0,Valencia,22,young
Jon Karrikaburu,0,0,2,50.0,0,Deportivo Alavés,21,young
Jorge Herrando,0,0,57,73.08,0,Osasuna,22,young
Joseba Zaldúa,0,0,29,61.7,0,Cádiz,31,veteran
Miguel Rodríguez,0,0,20,68.97,1,Celta Vigo,20,youth
Marciano Sanca,0,0,14,60.87,1,Almería,19,youth
Mohamed-Ali Cho,0,0,37,67.27,1,Real Sociedad,19,youth
Houboulang Mendes,0,0,84,73.04,1,Almería,25,young
Domingos Duarte,0,0,199,76.25,2,Getafe,28,ideal
Nico Paz,0,0,18,78.26,0,Real Madrid,19,youth
Urko González,0,0,41,78.85,0,Real Sociedad,22,young
Arnau Puigmal,0,0,52,78.79,3,Almería,22,young
Jesús Vázquez,0,0,10,50.0,0,Valencia,20,youth
Anthony Lozano,0,0,9,60.0,1,Getafe,30,veteran
Carlos Romero,0,0,64,78.05,0,Villarreal,22,young
Wilson Manafá,0,0,75,76.53,1,Granada,29,ideal
Bono,0,0,16,59.26,0,Sevilla,32,veteran
Tomás Mendes,0,0,4,66.67,0,Deportivo Alavés,19,youth
Mikel Jauregizar,0,0,3,60.0,1,Athletic Club,20,youth
Federico Gattoni,0,0,6,75.0,0,Sevilla,24,young
Fernando Martínez,0,0,40,57.97,0,Almería,33,veteran
Raúl Fernández,0,0,59,62.11,0,Granada,35,veteran
Pablo Gozálbez,0,0,16,53.33,0,Valencia,22,young
Unai Ropero,0,0,4,100.0,0,Deportivo Alavés,22,young
Santi García,0,0,6,85.71,0,Getafe,22,young
Aitor Fernández,0,0,59,65.56,0,Osasuna,32,veteran
Álex Centelles,0,0,63,70.0,4,Almería,24,young
Víctor Díaz,0,0,45,65.22,0,Granada,35,veteran
Jesús Vallejo,0,0,66,91.67,0,Granada,26,ideal
Víctor Chust,0,0,76,79.17,0,Cádiz,23,young
Jhon Solís,0,0,8,66.67,0,Girona FC,19,youth
Gabri Veiga,0,0,3,75.0,0,Celta Vigo,21,young
Adria Miquel Bosch Sanchis,0,0,11,78.57,0,Granada,22,young
Robert Navarro,0,0,41,77.36,3,Cádiz,21,young
Pepe Reina,0,0,0,0.0,0,Villarreal,41,veteran
Moussa Diakité,0,0,0,0.0,0,Cádiz,20,youth
